GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US06390,6390,ZCTA5 06390,303,151
8600000US07421,7421,ZCTA5 07421,7281,512
8600000US10001,10001,ZCTA5 10001,23332,1740
8600000US10002,10002,ZCTA5 10002,78096,2456
8600000US10003,10003,ZCTA5 10003,56767,1934
8600000US10004,10004,ZCTA5 10004,3044,509
8600000US10005,10005,ZCTA5 10005,8710,840
8600000US10006,10006,ZCTA5 10006,3277,438
8600000US10007,10007,ZCTA5 10007,6740,665
8600000US10009,10009,ZCTA5 10009,59799,1682
8600000US10010,10010,ZCTA5 10010,32854,2303
8600000US10011,10011,ZCTA5 10011,50404,2300
8600000US10012,10012,ZCTA5 10012,24536,1279
8600000US10013,10013,ZCTA5 10013,28211,1443
8600000US10014,10014,ZCTA5 10014,31464,1227
8600000US10016,10016,ZCTA5 10016,50444,2138
8600000US10017,10017,ZCTA5 10017,16533,1281
8600000US10018,10018,ZCTA5 10018,9684,664
8600000US10019,10019,ZCTA5 10019,39505,1902
8600000US10020,10020,ZCTA5 10020,0,11
8600000US10021,10021,ZCTA5 10021,45261,2254
8600000US10022,10022,ZCTA5 10022,30262,1518
8600000US10023,10023,ZCTA5 10023,60307,2076
8600000US10024,10024,ZCTA5 10024,58516,2518
8600000US10025,10025,ZCTA5 10025,94717,3033
8600000US10026,10026,ZCTA5 10026,38540,1563
8600000US10027,10027,ZCTA5 10027,64120,2111
8600000US10028,10028,ZCTA5 10028,48205,2498
8600000US10029,10029,ZCTA5 10029,79411,2268
8600000US10030,10030,ZCTA5 10030,30358,1743
8600000US10031,10031,ZCTA5 10031,60778,2207
8600000US10032,10032,ZCTA5 10032,63189,2242
8600000US10033,10033,ZCTA5 10033,59353,2098
8600000US10034,10034,ZCTA5 10034,43951,1444
8600000US10035,10035,ZCTA5 10035,34187,1557
8600000US10036,10036,ZCTA5 10036,25987,1305
8600000US10037,10037,ZCTA5 10037,20112,1117
8600000US10038,10038,ZCTA5 10038,22300,1299
8600000US10039,10039,ZCTA5 10039,27471,1471
8600000US10040,10040,ZCTA5 10040,45033,1900
8600000US10044,10044,ZCTA5 10044,11731,784
8600000US10065,10065,ZCTA5 10065,30001,1675
8600000US10069,10069,ZCTA5 10069,5231,923
8600000US10075,10075,ZCTA5 10075,23353,1929
8600000US10103,10103,ZCTA5 10103,0,11
8600000US10110,10110,ZCTA5 10110,0,11
8600000US10111,10111,ZCTA5 10111,0,11
8600000US10112,10112,ZCTA5 10112,0,11
8600000US10115,10115,ZCTA5 10115,0,11
8600000US10119,10119,ZCTA5 10119,0,11
8600000US10128,10128,ZCTA5 10128,63006,1978
8600000US10152,10152,ZCTA5 10152,0,11
8600000US10153,10153,ZCTA5 10153,0,11
8600000US10154,10154,ZCTA5 10154,0,11
8600000US10162,10162,ZCTA5 10162,1253,501
8600000US10165,10165,ZCTA5 10165,0,11
8600000US10167,10167,ZCTA5 10167,0,11
8600000US10168,10168,ZCTA5 10168,0,11
8600000US10169,10169,ZCTA5 10169,0,11
8600000US10170,10170,ZCTA5 10170,0,11
8600000US10171,10171,ZCTA5 10171,0,11
8600000US10172,10172,ZCTA5 10172,0,11
8600000US10173,10173,ZCTA5 10173,0,11
8600000US10174,10174,ZCTA5 10174,0,11
8600000US10177,10177,ZCTA5 10177,0,11
8600000US10199,10199,ZCTA5 10199,0,11
8600000US10271,10271,ZCTA5 10271,0,11
8600000US10278,10278,ZCTA5 10278,0,11
8600000US10279,10279,ZCTA5 10279,0,11
8600000US10280,10280,ZCTA5 10280,9845,920
8600000US10282,10282,ZCTA5 10282,5635,616
8600000US10301,10301,ZCTA5 10301,39519,1400
8600000US10302,10302,ZCTA5 10302,17758,1028
8600000US10303,10303,ZCTA5 10303,24562,1103
8600000US10304,10304,ZCTA5 10304,42054,1611
8600000US10305,10305,ZCTA5 10305,41533,1522
8600000US10306,10306,ZCTA5 10306,55031,1841
8600000US10307,10307,ZCTA5 10307,15275,882
8600000US10308,10308,ZCTA5 10308,30347,1296
8600000US10309,10309,ZCTA5 10309,33459,1503
8600000US10310,10310,ZCTA5 10310,24250,1079
8600000US10311,10311,ZCTA5 10311,0,11
8600000US10312,10312,ZCTA5 10312,60951,1748
8600000US10314,10314,ZCTA5 10314,88585,1749
8600000US10451,10451,ZCTA5 10451,48289,2064
8600000US10452,10452,ZCTA5 10452,75288,1836
8600000US10453,10453,ZCTA5 10453,80516,1838
8600000US10454,10454,ZCTA5 10454,38938,1575
8600000US10455,10455,ZCTA5 10455,42779,1648
8600000US10456,10456,ZCTA5 10456,92712,2672
8600000US10457,10457,ZCTA5 10457,74010,2392
8600000US10458,10458,ZCTA5 10458,81698,2395
8600000US10459,10459,ZCTA5 10459,47972,1391
8600000US10460,10460,ZCTA5 10460,60266,1806
8600000US10461,10461,ZCTA5 10461,50255,1977
8600000US10462,10462,ZCTA5 10462,78725,2050
8600000US10463,10463,ZCTA5 10463,71657,2078
8600000US10464,10464,ZCTA5 10464,4300,587
8600000US10465,10465,ZCTA5 10465,44950,1458
8600000US10466,10466,ZCTA5 10466,71645,1977
8600000US10467,10467,ZCTA5 10467,103045,2490
8600000US10468,10468,ZCTA5 10468,75537,2155
8600000US10469,10469,ZCTA5 10469,71664,2346
8600000US10470,10470,ZCTA5 10470,14574,922
8600000US10471,10471,ZCTA5 10471,21601,1055
8600000US10472,10472,ZCTA5 10472,68972,2039
8600000US10473,10473,ZCTA5 10473,61818,1562
8600000US10474,10474,ZCTA5 10474,12793,857
8600000US10475,10475,ZCTA5 10475,44749,2646
8600000US10501,10501,ZCTA5 10501,1226,215
8600000US10502,10502,ZCTA5 10502,5513,210
8600000US10503,10503,ZCTA5 10503,137,58
8600000US10504,10504,ZCTA5 10504,7903,342
8600000US10505,10505,ZCTA5 10505,905,238
8600000US10506,10506,ZCTA5 10506,5963,661
8600000US10507,10507,ZCTA5 10507,6859,623
8600000US10509,10509,ZCTA5 10509,19419,540
8600000US10510,10510,ZCTA5 10510,10423,471
8600000US10511,10511,ZCTA5 10511,2263,235
8600000US10512,10512,ZCTA5 10512,25076,950
8600000US10514,10514,ZCTA5 10514,12688,660
8600000US10516,10516,ZCTA5 10516,5486,259
8600000US10517,10517,ZCTA5 10517,584,279
8600000US10518,10518,ZCTA5 10518,1478,350
8600000US10519,10519,ZCTA5 10519,137,94
8600000US10520,10520,ZCTA5 10520,12797,375
8600000US10522,10522,ZCTA5 10522,11058,24
8600000US10523,10523,ZCTA5 10523,9058,595
8600000US10524,10524,ZCTA5 10524,4268,240
8600000US10526,10526,ZCTA5 10526,1522,237
8600000US10527,10527,ZCTA5 10527,836,182
8600000US10528,10528,ZCTA5 10528,13066,618
8600000US10530,10530,ZCTA5 10530,12800,693
8600000US10532,10532,ZCTA5 10532,5019,295
8600000US10533,10533,ZCTA5 10533,7590,387
8600000US10535,10535,ZCTA5 10535,685,294
8600000US10536,10536,ZCTA5 10536,10775,774
8600000US10537,10537,ZCTA5 10537,1541,387
8600000US10538,10538,ZCTA5 10538,16718,474
8600000US10541,10541,ZCTA5 10541,26371,971
8600000US10543,10543,ZCTA5 10543,20643,391
8600000US10545,10545,ZCTA5 10545,131,37
8600000US10546,10546,ZCTA5 10546,1433,379
8600000US10547,10547,ZCTA5 10547,7461,723
8600000US10548,10548,ZCTA5 10548,3398,325
8600000US10549,10549,ZCTA5 10549,16557,592
8600000US10550,10550,ZCTA5 10550,37679,1284
8600000US10552,10552,ZCTA5 10552,19620,1114
8600000US10553,10553,ZCTA5 10553,10606,840
8600000US10560,10560,ZCTA5 10560,4930,137
8600000US10562,10562,ZCTA5 10562,31745,416
8600000US10566,10566,ZCTA5 10566,23977,31
8600000US10567,10567,ZCTA5 10567,20652,673
8600000US10570,10570,ZCTA5 10570,12966,536
8600000US10573,10573,ZCTA5 10573,38958,72
8600000US10576,10576,ZCTA5 10576,4878,378
8600000US10577,10577,ZCTA5 10577,6508,477
8600000US10578,10578,ZCTA5 10578,843,236
8600000US10579,10579,ZCTA5 10579,9438,411
8600000US10580,10580,ZCTA5 10580,17270,280
8600000US10583,10583,ZCTA5 10583,40054,896
8600000US10588,10588,ZCTA5 10588,2748,630
8600000US10589,10589,ZCTA5 10589,9229,379
8600000US10590,10590,ZCTA5 10590,6937,556
8600000US10591,10591,ZCTA5 10591,23394,444
8600000US10594,10594,ZCTA5 10594,5076,345
8600000US10595,10595,ZCTA5 10595,8237,504
8600000US10596,10596,ZCTA5 10596,1727,334
8600000US10597,10597,ZCTA5 10597,1154,547
8600000US10598,10598,ZCTA5 10598,29489,811
8600000US10601,10601,ZCTA5 10601,11519,846
8600000US10603,10603,ZCTA5 10603,17429,1031
8600000US10604,10604,ZCTA5 10604,11153,684
8600000US10605,10605,ZCTA5 10605,17470,742
8600000US10606,10606,ZCTA5 10606,18312,998
8600000US10607,10607,ZCTA5 10607,6806,778
8600000US10701,10701,ZCTA5 10701,58841,1638
8600000US10703,10703,ZCTA5 10703,21039,1088
8600000US10704,10704,ZCTA5 10704,32125,1116
8600000US10705,10705,ZCTA5 10705,41008,1660
8600000US10706,10706,ZCTA5 10706,8776,251
8600000US10707,10707,ZCTA5 10707,10253,326
8600000US10708,10708,ZCTA5 10708,22632,807
8600000US10709,10709,ZCTA5 10709,9090,467
8600000US10710,10710,ZCTA5 10710,27602,999
8600000US10801,10801,ZCTA5 10801,42154,880
8600000US10803,10803,ZCTA5 10803,12560,32
8600000US10804,10804,ZCTA5 10804,14634,618
