,created_date,gross_rent,income,pop,Borough,zip,fall,spring,summer,winter,bronx,brooklyn,manhattan,queens,staten_island,count_zip_code
0,Winter,645,24610,12468,BROOKLYN,411,0,0,0,1,0,1,0,0,0,411
1,Winter,705,21553,38938,BRONX,2272,0,0,0,1,1,0,0,0,0,2272
2,Winter,744,31371,43444,BROOKLYN,1895,0,0,0,1,0,1,0,0,0,1895
3,Winter,758,26893,34187,MANHATTAN,2385,0,0,0,1,0,0,1,0,0,2385
4,Winter,851,23962,42779,BRONX,2887,0,0,0,1,1,0,0,0,0,2887
5,Winter,867,42333,19403,QUEENS,849,0,0,0,1,0,0,0,1,0,849
6,Winter,882,32257,27471,MANHATTAN,1925,0,0,0,1,0,0,1,0,0,1925
7,Winter,893,36686,61818,BRONX,2455,0,0,0,1,1,0,0,0,0,2455
8,Winter,911,32500,79411,MANHATTAN,4099,0,0,0,1,0,0,1,0,0,4099
9,Winter,917,33720,30358,MANHATTAN,2731,0,0,0,1,0,0,1,0,0,2731
10,Winter,919,35594,78096,MANHATTAN,4180,0,0,0,1,0,0,1,0,0,4180
11,Winter,924,53829,12021,QUEENS,656,0,0,0,1,0,0,0,1,0,656
12,Winter,941,24805,47972,BRONX,3983,0,0,0,1,1,0,0,0,0,3983
13,Winter,942,31549,86486,BROOKLYN,4113,0,0,0,1,0,1,0,0,0,4113
14,Winter,948,25868,92712,BRONX,7438,0,0,0,1,1,0,0,0,0,7438
15,Winter,954,46340,44749,BRONX,528,0,0,0,1,1,0,0,0,0,528
16,Winter,956,28495,86469,BROOKLYN,6481,0,0,0,1,0,1,0,0,0,6481
17,Winter,964,24086,60266,BRONX,5471,0,0,0,1,1,0,0,0,0,5471
18,Winter,965,26419,48289,BRONX,3753,0,0,0,1,1,0,0,0,0,3753
19,Winter,972,55198,24562,STATEN ISLAND,1293,0,0,0,1,0,0,0,0,1,1293
20,Winter,1045,52082,38540,MANHATTAN,2260,0,0,0,1,0,0,1,0,0,2260
21,Winter,1057,22914,80516,BRONX,9402,0,0,0,1,1,0,0,0,0,9402
22,Winter,1063,42754,64120,MANHATTAN,4267,0,0,0,1,0,0,1,0,0,4267
23,Winter,1065,25771,75288,BRONX,7171,0,0,0,1,1,0,0,0,0,7171
24,Winter,1068,39463,20112,MANHATTAN,1650,0,0,0,1,0,0,1,0,0,1650
25,Winter,1072,53843,42054,STATEN ISLAND,2327,0,0,0,1,0,0,0,0,1,2327
26,Winter,1079,35849,93251,BROOKLYN,6902,0,0,0,1,0,1,0,0,0,6902
27,Winter,1083,25967,74010,BRONX,7029,0,0,0,1,1,0,0,0,0,7029
28,Winter,1086,69201,24250,STATEN ISLAND,1417,0,0,0,1,0,0,0,0,1,1417
29,Winter,1089,41190,64946,QUEENS,3371,0,0,0,1,0,0,0,1,0,3371
30,Winter,1094,26901,12793,BRONX,1600,0,0,0,1,1,0,0,0,0,1600
31,Winter,1100,29934,68972,BRONX,6718,0,0,0,1,1,0,0,0,0,6718
32,Winter,1114,35686,72159,BROOKLYN,5743,0,0,0,1,0,1,0,0,0,5743
33,Winter,1131,37556,65434,BROOKLYN,6352,0,0,0,1,0,1,0,0,0,6352
34,Winter,1131,40054,63189,MANHATTAN,5937,0,0,0,1,0,0,1,0,0,5937
35,Winter,1134,45820,34703,QUEENS,2105,0,0,0,1,0,0,0,1,0,2105
36,Winter,1138,57454,66279,QUEENS,2330,0,0,0,1,0,0,0,1,0,2330
37,Winter,1143,30339,81698,BRONX,9181,0,0,0,1,1,0,0,0,0,9181
38,Winter,1160,34964,103045,BRONX,9581,0,0,0,1,1,0,0,0,0,9581
39,Winter,1165,44354,71645,BRONX,5026,0,0,0,1,1,0,0,0,0,5026
40,Winter,1167,34988,75537,BRONX,8173,0,0,0,1,1,0,0,0,0,8173
41,Winter,1171,37640,95715,BROOKLYN,5743,0,0,0,1,0,1,0,0,0,5743
42,Winter,1171,37640,95715,QUEENS,11,0,0,0,1,0,0,0,1,0,11
43,Winter,1174,41848,60778,MANHATTAN,7113,0,0,0,1,0,0,1,0,0,7113
44,Winter,1175,77278,15275,STATEN ISLAND,462,0,0,0,1,0,0,0,0,1,462
45,Winter,1185,88567,60951,STATEN ISLAND,2467,0,0,0,1,0,0,0,0,1,2467
